	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu26	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	81.0
Otu98	Bacteria	100	Firmicutes	91	Clostridia	74	Clostridiales	74	Lachnospiraceae	57	Anaerobium	3.0
Otu82	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	97	Sporobacter	49.0
Otu67	Bacteria	100	Firmicutes	85	Clostridia	83	Clostridiales	83	Clostridiaceae 1	41	Fervidicella	16.0
Otu1	Bacteria	100	Verrucomicrobia	100	Verrucomicrobiae	100	Verrucomicrobiales	100	Akkermansiaceae	100	Akkermansia	100.0
Otu87	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	50.0
Otu187	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Paludicola	36.0
Otu69	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnospiracea_incertae_sedis	34.0
Otu96	Bacteria	100	Firmicutes	97	Clostridia	92	Clostridiales	92	Peptostreptococcaceae	29	Criibacterium	26.0
Otu75	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Porphyromonadaceae	100	Porphyromonas	100.0
Otu38	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiales_Incertae Sedis XIII	90	Ihubacter	90.0
Otu71	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	89	Parasporobacterium	29.0
Otu74	Bacteria	100	Firmicutes	97	Clostridia	92	Clostridiales	92	Peptostreptococcaceae	14	Criibacterium	14.0
Otu154	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Ruminococcaceae	96	Oscillibacter	52.0
Otu192	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Faecalimonas	29.0
Otu33	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	74.0
