	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu1	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Enterobacterales	100	Enterobacteriaceae	100	Escherichia/Shigella	95.0
Otu2	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Bacteroidaceae	100	Bacteroides	100.0
Otu181	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Aerococcaceae	95	Abiotrophia	95.0
Otu225	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Agathobacter	27.0
Otu4	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	84.0
Otu9	Bacteria	100	Firmicutes	96	Clostridia	90	Clostridiales	90	Lachnospiraceae	31	Lactonifactor	14.0
Otu70	Bacteria	100	Firmicutes	91	Clostridia	85	Clostridiales	85	Clostridiales_Incertae Sedis XIII	28	Bacilliculturomica	28.0
Otu8	Bacteria	100	Firmicutes	97	Clostridia	90	Clostridiales	89	Clostridiales_Incertae Sedis XIII	17	Anaerovorax	7.0
Otu15	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Lachnospiraceae	29	Robinsoniella	15.0
Otu37	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	51.0
Otu27	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Lactobacillaceae	100	Ligilactobacillus	100.0
Otu19	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	89	Parasporobacterium	29.0
Otu18	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVb	97.0
Otu36	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	87.0
Otu6	Bacteria	100	Verrucomicrobia	100	Verrucomicrobiae	100	Verrucomicrobiales	100	Akkermansiaceae	100	Akkermansia	100.0
Otu12	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	92	Sporobacter	55.0
Otu22	Bacteria	100	Firmicutes	99	Clostridia	95	Clostridiales	95	Peptostreptococcaceae	40	Criibacterium	38.0
Otu3	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Porphyromonadaceae	100	Parabacteroides	100.0
Otu45	Bacteria	100	Firmicutes	98	Clostridia	93	Clostridiales	93	Lachnospiraceae	33	Mordavella	13.0
Otu5	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Lactobacillaceae	100	Limosilactobacillus	97.0
Otu67	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	29.0
Otu14	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Syntrophococcus	30.0
Otu232	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Schaedlerella	72.0
Otu31	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Enterocloster	27.0
Otu17	Bacteria	100	Firmicutes	87	Clostridia	82	Clostridiales	81	Lachnospiraceae	37	Abyssivirga	10.0
Otu93	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Hungatella	13.0
Otu7	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	94	Lachnospira	23.0
Otu13	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Flintibacter	92.0
Otu39	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Eisenbergiella	13.0
Otu86	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	16.0
Otu11	Bacteria	100	Firmicutes	100	Clostridia	96	Clostridiales	96	Lachnospiraceae	96	Falcatimonas	18.0
Otu10	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	82.0
Otu75	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnospiracea_incertae_sedis	68.0
Otu20	Bacteria	100	Firmicutes	100	Erysipelotrichia	100	Erysipelotrichales	100	Erysipelotrichaceae	99	Clostridium XVIII	99.0
Otu83	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiales_Incertae Sedis XIII	85	Ihubacter	84.0
Otu26	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	12.0
Otu28	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	71.0
Otu41	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Clostridium XlVa	59.0
Otu106	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	98	Lachnospiraceae	93	Anaerotignum	88.0
Otu112	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	50.0
Otu131	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	59.0
Otu121	Bacteria	100	Firmicutes	98	Clostridia	93	Clostridiales	93	Lachnospiraceae	37	Lactonifactor	12.0
Otu40	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Acetatifactor	22.0
Otu108	Bacteria	100	Firmicutes	97	Clostridia	89	Clostridiales	89	Clostridiales_Incertae Sedis XIII	46	Bacilliculturomica	46.0
Otu219	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Eisenbergiella	33.0
Otu25	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Lachnospiraceae	98	Acetatifactor	47.0
Otu173	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Merdimonas	72.0
Otu32	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	45.0
Otu54	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Paludicola	24.0
Otu203	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	18.0
Otu53	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Butyricicoccus	78.0
Otu168	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Ruminococcus2	38.0
Otu76	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Hungatella	30.0
Otu38	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Acetatifactor	96.0
Otu109	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	96	Clostridium XlVa	29.0
Otu151	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Streptococcaceae	100	Streptococcus	100.0
Otu94	Bacteria	100	Firmicutes	98	Clostridia	98	Clostridiales	98	Lachnospiraceae	97	Marvinbryantia	51.0
Otu33	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	43.0
Otu30	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	16.0
Otu24	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	10.0
Otu69	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	31.0
Otu50	Bacteria	100	Firmicutes	95	Clostridia	95	Clostridiales	95	Ruminococcaceae	93	Paludicola	27.0
Otu104	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Blautia	69.0
Otu44	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	20.0
Otu35	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	46.0
Otu73	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Anaerosporobacter	34.0
Otu57	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Clostridium XlVa	42.0
