	Kingdom	Phylum	Class	Order	Family	Genus
Otu191	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu1921	Unclassified					
Otu1927	Unclassified					
Otu193	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
Otu1931	Unclassified					
Otu194	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus
Otu195	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Otu1950	Unclassified					
Otu196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
Otu1960	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
Otu1974	Unclassified					
Otu1979	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	
Otu198	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	uncultured
Otu199	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1995	Unclassified					
Otu1997	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Otu20	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003
Otu2005	Unclassified					
Otu201	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
Otu203	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2039	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2040	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Otu2043	Unclassified					
Otu2046	Unclassified					
Otu2049	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu205	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu2059	Unclassified					
Otu206	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured
Otu2060	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu2068	Unclassified					
Otu2086	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu209	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu21	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2111	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2112	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2113	Unclassified					
Otu2114	Bacteria	Firmicutes	Clostridia			
Otu212	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu214	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu215	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu2155	Unclassified					
Otu216	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2163	Unclassified					
Otu2167	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu217	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	
Otu2173	Bacteria	Firmicutes	Clostridia			
Otu218	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
Otu2182	Unclassified					
Otu219	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu22	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu220	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
Otu221	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2210	Unclassified					
Otu2215	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu2227	Unclassified					
Otu223	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
Otu2232	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2233	Unclassified					
Otu224	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast		
Otu2245	Unclassified					
Otu225	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2259	Unclassified					
Otu226	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
Otu2260	Unclassified					
Otu2263	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu227	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
Otu2294	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-004
Otu23	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu230	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu231	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	
Otu2312	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu232	Bacteria	Firmicutes	Clostridia			
Otu233	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales		
Otu234	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2344	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2350	Unclassified					
Otu2353	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu236	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uncultured
Otu2374	Unclassified					
Otu238	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Otu239	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2394	Bacteria	Firmicutes	Clostridia			
Otu24	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes
Otu241	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
Otu242	Bacteria	Firmicutes	Clostridia			
Otu243	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu2437	Unclassified					
Otu244	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu245	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	uncultured
Otu247	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Otu249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu2498	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu25	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu250	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1819
Otu2501	Bacteria	Firmicutes	Clostridia			
Otu2502	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu251	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu252	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uncultured
Otu2525	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu253	Bacteria	Firmicutes	Clostridia			
Otu254	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu255	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu256	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu2573	Bacteria	Firmicutes	Clostridia			
Otu258	Bacteria	Firmicutes				
Otu259	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium
Otu2598	Unclassified					
Otu26	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Otu260	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu2606	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
Otu261	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu262	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu2623	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2628	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	
Otu263	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Otu264	Unclassified					
Otu265	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu2655	Unclassified					
Otu2656	Unclassified					
Otu2657	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu2660	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2661	Unclassified					
Otu2668	Bacteria	Firmicutes	Clostridia			
Otu2670	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu2674	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu268	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
Otu269	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu27	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu270	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu2708	Unclassified					
Otu271	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group		
Otu272	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu273	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu274	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Otu2743	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu2763	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu277	Bacteria	Firmicutes	Clostridia			
Otu278	Bacteria	Firmicutes	Bacilli	RF39		
Otu2783	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu279	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group
Otu28	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
Otu280	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu2802	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2806	Unclassified					
Otu281	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Otu2819	Unclassified					
Otu2829	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu285	Bacteria	Firmicutes	Clostridia			
Otu2857	Bacteria					
Otu286	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter
Otu2861	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
Otu288	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu29	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] eligens group
Otu290	Unclassified					
Otu2901	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	
Otu2917	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu292	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu293	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2938	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu294	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu296	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu2965	Bacteria	Firmicutes	Clostridia			
Otu2981	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu2985	Bacteria	Firmicutes	Clostridia			
Otu2997	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu30	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu300	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
Otu3000	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3004	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3009	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu301	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu3024	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3034	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu304	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	
Otu3045	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu305	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu3059	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3066	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3069	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3082	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3089	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu309	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu3094	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3097	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu31	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Otu310	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu311	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3111	Unclassified					
Otu3112	Unclassified					
Otu3115	Unclassified					
Otu3116	Unclassified					
Otu3117	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Otu312	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu3123	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	FD2005
Otu313	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis
Otu3130	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3136	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu314	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3144	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3145	Unclassified					
Otu3149	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu315	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu3158	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu316	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu3163	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu317	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales		
Otu3187	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu319	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
Otu3191	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu32	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Otu320	Bacteria	Firmicutes	Clostridia			
Otu3214	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu322	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	
Otu3229	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu323	Bacteria	Firmicutes	Clostridia			
Otu3231	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3238	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu324	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu326	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu3264	Bacteria	Firmicutes	Clostridia			
Otu327	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu3273	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu328	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu3286	Bacteria	Firmicutes	Clostridia			
Otu329	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast		
Otu33	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu330	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
Otu3306	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu331	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uncultured
Otu3314	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Otu3330	Unclassified					
Otu338	Bacteria	Firmicutes	uncultured			
Otu3380	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu339	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	
Otu3390	Bacteria	Firmicutes	Clostridia			
Otu3394	Unclassified					
Otu34	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
Otu3404	Bacteria	Firmicutes	Clostridia			
Otu342	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	
Otu3424	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu3425	Unclassified					
Otu344	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured
Otu346	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured
Otu347	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu3477	Bacteria	Firmicutes	Clostridia			
Otu348	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu3485	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu349	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu3494	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu35	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu350	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group
Otu351	Unclassified					
Otu3514	Bacteria	Firmicutes	Clostridia			
Otu3517	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
Otu3525	Bacteria	Firmicutes	Clostridia			
Otu353	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu3537	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
Otu3538	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu354	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia
Otu3540	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3547	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3559	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
Otu357	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group
Otu358	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu3588	Unclassified					
Otu3595	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu36	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu362	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group
Otu3622	Bacteria	Firmicutes	Clostridia			
Otu363	Bacteria	Firmicutes	Clostridia			
Otu3639	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu364	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group
Otu365	Bacteria	Firmicutes	Bacilli	RF39		
Otu3650	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu366	Bacteria	Firmicutes	Clostridia	Lachnospirales		
Otu3671	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3683	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu3688	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu369	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu3703	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Terrisporobacter
Otu3704	Unclassified					
Otu371	Bacteria	Firmicutes	Clostridia			
Otu3714	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu372	Bacteria	Firmicutes	Clostridia			
Otu373	Bacteria	Firmicutes	Clostridia			
Otu3738	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Otu374	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	
Otu375	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3751	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3754	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu376	Bacteria	Firmicutes	Bacilli	RF39		
Otu3760	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3764	Bacteria	Firmicutes	Clostridia			
Otu3767	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu378	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu379	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	
Otu3793	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3794	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu38	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu380	Bacteria	Firmicutes	Clostridia			
Otu381	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu382	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Otu383	Bacteria	Actinobacteriota	Actinobacteria			
Otu384	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu385	Unclassified					
Otu386	Bacteria	Firmicutes	Clostridia			
Otu3865	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu3873	Bacteria	Firmicutes	Clostridia			
Otu3878	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu388	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
Otu39	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
Otu390	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu3907	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu391	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured
Otu3910	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu392	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu393	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu394	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu395	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Otu396	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu397	Unclassified					
Otu4	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu40	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Otu400	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	
Otu402	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu403	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group		
Otu406	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
Otu408	Unclassified					
Otu41	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu412	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu413	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	Raoultibacter
Otu414	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu415	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
Otu416	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu417	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus
Otu418	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu419	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
Otu42	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu423	Bacteria	Firmicutes	Clostridia			
Otu424	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu425	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu426	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group
Otu43	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
