	Kingdom	Phylum	Class	Order	Family	Genus
Otu87	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu870	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu872	Unclassified					
Otu878	Unclassified					
Otu879	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
Otu88	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu880	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu885	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu89	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu894	Unclassified					
Otu895	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu899	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu90	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium
Otu901	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu909	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu91	Bacteria	Bacteroidota	Bacteroidia			
Otu913	Unclassified					
Otu916	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002
Otu918	Unclassified					
Otu92	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu922	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
Otu924	Unclassified					
Otu927	Unclassified					
Otu928	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu93	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
Otu932	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu936	Unclassified					
Otu94	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu941	Unclassified					
Otu949	Unclassified					
Otu95	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu96	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu963	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu968	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	
Otu971	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Otu974	Unclassified					
Otu98	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu980	Unclassified					
Otu984	Unclassified					
Otu987	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu99	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu997	Unclassified					
Otu999	Unclassified					
