Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu303,Bacteria,0.99,Firmicutes,0.46,Clostridia,0.32,Clostridiales,0.23,Flavobacteriaceae,0.19,Flavobacterium,0.14
Otu299,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Coriobacteriales,0.69,Atopobiaceae,0.64,Olsenella,0.64
Otu305,Bacteria,0.5,Euryarchaeota,0.25,Thermoprotei,0.25,Thermoproteales,0.19,Thermococcaceae,0.12,Thermoproteus,0.12
Otu304,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.94,Lachnobacterium,0.82
Otu306,Bacteria,0.52,Euryarchaeota,0.27,Thermoprotei,0.18,Thermococcales,0.14,Thermococcaceae,0.14,Pyrococcus,0.13
Otu301,Bacteria,1,Proteobacteria,0.99,Deltaproteobacteria,0.91,Desulfovibrionales,0.91,Desulfovibrionaceae,0.8,Desulfovibrio,0.8
Otu308,Bacteria,0.92,Firmicutes,0.4,Clostridia,0.27,Clostridiales,0.27,Weeksellaceae,0.17,Chryseobacterium,0.15
Otu307,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Roseburia,0.75
Otu302,Bacteria,0.94,Firmicutes,0.6,Bacilli,0.34,Bacillales,0.3,Paenibacillaceae_1,0.28,Paenibacillus,0.28
Otu311,Bacteria,0.86,Bacteroidetes,0.42,Cytophagia,0.3,Cytophagales,0.3,Cytophagaceae,0.18,Spirosoma,0.15
Otu310,Bacteria,1,Firmicutes,0.63,Clostridia,0.63,Clostridiales,0.43,Halobacteroidaceae,0.2,Fuchsiella,0.2
Otu313,Bacteria,0.81,Armatimonadetes,0.17,Halobacteria,0.13,Bacteroidales,0.11,Bacteroidaceae,0.11,Bacteroides,0.11
Otu309,Bacteria,1,Firmicutes,0.95,Erysipelotrichia,0.91,Erysipelotrichales,0.91,Erysipelotrichaceae,0.91,Bulleidia,0.74
Otu314,Bacteria,1,Firmicutes,0.9,Erysipelotrichia,0.9,Erysipelotrichales,0.9,Erysipelotrichaceae,0.9,Sharpea,0.53
Otu319,Bacteria,0.98,Campilobacterota,0.43,Desulfurellia,0.41,Desulfurellales,0.41,Hippeaceae,0.41,Hippea,0.41
Otu312,Bacteria,1,Synergistetes,0.55,Synergistia,0.55,Synergistales,0.55,Synergistaceae,0.55,Pyramidobacter,0.55
Otu316,Bacteria,1,Spirochaetes,1,Spirochaetia,1,Spirochaetales,1,Spirochaetaceae,1,Treponema,1
Otu317,Bacteria,1,Bacteroidetes,1,Cytophagia,1,Cytophagales,1,Fulvivirgaceae,0.99,Ohtaekwangia,0.99
Otu315,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Streptosporangiales,0.56,Streptosporangiaceae,0.33,Nonomuraea,0.33
Otu320,Bacteria,0.99,Firmicutes,0.34,Bacilli,0.27,Bacillales,0.22,Paenibacillaceae_1,0.13,Gp6,0.19
Otu322,Bacteria,1,Thermotogae,0.26,Thermotogae,0.26,Petrotogales,0.24,Petrotogaceae,0.24,Geotoga,0.18
Otu324,Bacteria,0.96,Proteobacteria,0.37,Gammaproteobacteria,0.24,Flavobacteriales,0.17,Flavobacteriaceae,0.17,Psychrobacter,0.14
Otu326,Bacteria,0.97,Firmicutes,0.59,Bacilli,0.4,Bacillales,0.38,Thermoactinomycetaceae_1,0.3,Hazenella,0.2
Otu321,Bacteria,1,Firmicutes,0.9,Bacilli,0.67,Lactobacillales,0.66,Lactobacillaceae,0.6,Lacticaseibacillus,0.43
Otu327,Bacteria,0.74,Euryarchaeota,0.26,Halobacteria,0.22,Cytophagales,0.15,Reichenbachiellaceae,0.13,Ekhidna,0.13
Otu323,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium_XlVb,0.37
Otu328,Bacteria,1,Firmicutes,0.6,Bacilli,0.3,Clostridiales,0.29,Bacillaceae_2,0.18,Armatimonadetes_gp4,0.18
Otu325,Bacteria,1,Firmicutes,0.99,Clostridia,0.85,Clostridiales,0.85,Lachnospiraceae,0.77,Blautia,0.73
Otu318,Bacteria,1,Firmicutes,1,Erysipelotrichia,0.9,Erysipelotrichales,0.9,Erysipelotrichaceae,0.9,Clostridium_XVIII,0.87
Otu330,Bacteria,1,Firmicutes,0.81,Clostridia,0.81,Clostridiales,0.81,Lachnospiraceae,0.79,Cellulosilyticum,0.79
Otu329,Eukaryota,0.9,Plantae,0.9,Liliopsida,0.9,Poales,0.9,Poaceae,0.9,Zea,0.9
Otu334,Bacteria,0.56,Korarchaeota,0.26,Gammaproteobacteria,0.18,Thermococcales,0.11,Thermococcaceae,0.11,Candidatus_Korarchaeum,0.26
Otu332,Bacteria,1,Firmicutes,0.95,Bacilli,0.9,Lactobacillales,0.9,Streptococcaceae,0.87,Streptococcus,0.72
Otu331,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.98,Bacteroidales,0.98,Marinilabiliaceae,0.26,Marinilabilia,0.22
Otu336,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Roseburia,0.51
Otu335,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium_XlVa,0.5
Otu333,Bacteria,1,Bacteroidetes,0.53,Cytophagia,0.52,Cytophagales,0.52,Cytophagaceae,0.52,Emticicia,0.43
Otu337,Bacteria,0.92,Proteobacteria,0.41,Alphaproteobacteria,0.28,Rhodospirillales,0.2,Acetobacteraceae,0.1,Roseomonas,0.08
Otu338,Bacteria,0.96,Proteobacteria,0.34,Gammaproteobacteria,0.28,Gammaproteobacteria_incertae_sedis,0.18,Streptococcaceae,0.11,Candidatus_Carsonella,0.18
Otu341,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Roseburia,0.9
Otu339,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,0.56,Desulfovibrionales,0.27,Desulfovibrionaceae,0.27,Desulfovibrio,0.27
Otu347,Bacteria,0.96,Firmicutes,0.54,Clostridia,0.33,Bacillales,0.2,Halobacteroidaceae,0.2,Micromonospora,0.09
Otu343,Bacteria,1,Firmicutes,0.87,Bacilli,0.73,Lactobacillales,0.73,Streptococcaceae,0.46,Lactococcus,0.45
Otu344,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.73,Flintibacter,0.46
Otu345,Bacteria,1,Firmicutes,0.64,Clostridia,0.64,Clostridiales,0.64,Lachnospiraceae,0.62,Cellulosilyticum,0.22
Otu340,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Enterobacterales,1,Enterobacteriaceae,1,Citrobacter,1
Otu342,Bacteria,1,Actinobacteria,0.62,Coriobacteriia,0.6,Eggerthellales,0.57,Eggerthellaceae,0.57,Raoultibacter,0.57
Otu346,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Allobaculum,0.46
Otu348,Bacteria,0.97,Bacteroidetes,0.46,Cytophagia,0.33,Cytophagales,0.33,Hymenobacteraceae,0.33,Pontibacter,0.27
Otu353,Bacteria,0.84,Bacteroidetes,0.33,Flavobacteriia,0.31,Flavobacteriales,0.31,Flavobacteriaceae,0.31,Euzebyella,0.18
Otu349,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.89,Bacteroidales,0.89,Dysgonomonadaceae,0.7,Dysgonomonas,0.7
Otu351,Bacteria,0.99,Proteobacteria,0.27,Alphaproteobacteria,0.23,Campylobacterales,0.16,Helicobacteraceae,0.14,Helicobacter,0.14
Otu350,Bacteria,1,Firmicutes,0.97,Bacilli,0.96,Lactobacillales,0.96,Streptococcaceae,0.94,Streptococcus,0.77
Otu352,Bacteria,1,Bacteroidetes,0.99,Cytophagia,0.99,Cytophagales,0.99,Cytophagaceae,0.89,Cytophaga,0.77
Otu355,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Micrococcales,0.98,Microbacteriaceae,0.98,Humibacter,0.47
Otu356,Bacteria,1,Firmicutes,0.74,Bacilli,0.38,Clostridiales,0.36,Lachnospiraceae,0.31,Cellulosilyticum,0.26
Otu354,Bacteria,1,Firmicutes,0.84,Clostridia,0.84,Clostridiales,0.81,Christensenellaceae,0.61,Christensenella,0.61
Otu359,Bacteria,1,Firmicutes,0.59,Clostridia,0.59,Clostridiales,0.59,Lachnospiraceae,0.4,Enterocloster,0.22
Otu361,Bacteria,0.95,Bacteroidetes,0.57,Flavobacteriia,0.37,Flavobacteriales,0.37,Weeksellaceae,0.28,Chryseobacterium,0.28
Otu357,Bacteria,1,Firmicutes,0.64,Bacilli,0.63,Lactobacillales,0.45,Lactobacillaceae,0.37,Dictyobacter,0.18
Otu363,Bacteria,0.95,Bacteroidetes,0.28,Actinobacteria,0.13,Clostridiales,0.12,Micrococcaceae,0.1,Arthrobacter,0.09
Otu360,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.8,Bacteroidales,0.8,Odoribacteraceae,0.38,Odoribacter,0.22
Otu362,Bacteria,1,Firmicutes,0.88,Clostridia,0.88,Clostridiales,0.88,Lachnospiraceae,0.87,Lachnospiracea_incertae_sedis,0.75
Otu364,Bacteria,0.9,Proteobacteria,0.48,Deltaproteobacteria,0.23,Desulfobacterales,0.2,Desulfobacteraceae,0.19,Rhodovibrio,0.11
Otu358,Bacteria,1,Bacteroidetes,0.84,Bacteroidia,0.81,Bacteroidales,0.81,Porphyromonadaceae,0.31,Porphyromonas,0.31
Otu366,Bacteria,0.96,Bacteroidetes,0.24,Bacteroidia,0.2,Bacteroidales,0.2,Campylobacteraceae,0.14,Campylobacter,0.14
Otu365,Bacteria,1,Firmicutes,0.99,Clostridia,0.95,Clostridiales,0.94,Tissierellaceae,0.3,Tepidimicrobium,0.29
Otu371,Bacteria,0.99,Proteobacteria,0.52,Gammaproteobacteria,0.18,Nitrosomonadales,0.12,Nitrosomonadaceae,0.09,Nitrosomonas,0.09
Otu367,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Lacrimispora,0.44
Otu369,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.98,Bacteroidales,0.98,Barnesiellaceae,0.48,Barnesiella,0.48
Otu370,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.82,Bacteroidales,0.82,Muribaculaceae,0.8,Duncaniella,0.8
Otu375,Bacteria,0.91,Actinobacteria,0.5,Actinobacteria,0.46,Bifidobacteriales,0.28,Bifidobacteriaceae,0.28,Arthrobacter,0.17
Otu373,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,0.35
Otu368,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,1,Sutterellaceae,1,Turicimonas,1
Otu372,Bacteria,1,Bacteroidetes,0.97,Cytophagia,0.51,Cytophagales,0.51,Sphingobacteriaceae,0.33,Aureibacter,0.19
Otu377,Bacteria,1,Proteobacteria,0.25,Mollicutes,0.12,Entomoplasmatales,0.1,Spiroplasmataceae,0.1,Spiroplasma,0.1
Otu376,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Syntrophococcus,0.29
Otu378,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.59,Lachnospira,0.3
Otu379,Bacteria,1,Firmicutes,0.94,Bacilli,0.81,Lactobacillales,0.81,Streptococcaceae,0.67,Streptococcus,0.52
Otu382,Bacteria,0.84,Deinococcus-Thermus,0.47,Deinococci,0.47,Deinococcales,0.47,Deinococcaceae,0.47,Deinococcus,0.47
Otu380,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.75
Otu374,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Micrococcales,1,Micrococcaceae,0.99,Pseudarthrobacter,0.98
Otu381,Bacteria,1,Firmicutes,0.88,Clostridia,0.48,Clostridiales,0.48,Ruminococcaceae,0.32,Anaerofilum,0.19
Otu383,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.61,Lachnospiracea_incertae_sedis,0.24
Otu385,Bacteria,0.96,Actinobacteria,0.46,Actinobacteria,0.44,Propionibacteriales,0.31,Nocardioidaceae,0.27,Nocardioides,0.27
Otu384,Bacteria,1,Firmicutes,0.97,Clostridia,0.95,Clostridiales,0.95,Peptococcaceae_2,0.79,Desulfotomaculum,0.65
Otu386,Bacteria,1,Bacteroidetes,1,Cytophagia,0.99,Cytophagales,0.99,Cytophagaceae,0.55,Chryseolinea,0.42
Otu387,Bacteria,1,Bacteroidetes,0.94,Cytophagia,0.6,Cytophagales,0.6,Cytophagaceae,0.57,Emticicia,0.42
Otu389,Bacteria,1,Firmicutes,0.98,Bacilli,0.84,Lactobacillales,0.84,Lactobacillaceae,0.84,Lactobacillus,0.63
Otu390,Bacteria,1,Firmicutes,1,Clostridia,0.94,Clostridiales,0.93,Ruminococcaceae,0.54,Eubacterium,0.29
Otu393,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Colidextribacter,0.51
Otu391,Bacteria,1,Firmicutes,0.87,Clostridia,0.44,Clostridiales,0.44,Erysipelotrichaceae,0.41,Dubosiella,0.19
