Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu433,Bacteria,1,Firmicutes,1,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.64,Acetanaerobacterium,0.43
Otu436,Bacteria,1,Firmicutes,0.98,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.64,Dysosmobacter,0.59
Otu438,Bacteria,0.71,Proteobacteria,0.36,Deltaproteobacteria,0.16,Desulfurococcales,0.13,Desulfurococcaceae,0.13,Thermogladius,0.1
Otu435,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,0.98,Oxalobacteraceae,0.95,Oxalicibacterium,0.95
Otu440,Bacteria,0.96,Deinococcus-Thermus,0.25,Deinococci,0.25,Thermales,0.23,Thermaceae,0.23,WPS-1_genera_incertae_sedis,0.21
Otu439,Bacteria,1,Firmicutes,0.93,Clostridia,0.8,Clostridiales,0.8,Ruminococcaceae,0.59,Acetanaerobacterium,0.47
Otu444,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Hespellia,0.91
Otu437,Bacteria,1,Firmicutes,0.98,Erysipelotrichia,0.95,Erysipelotrichales,0.95,Erysipelotrichaceae,0.95,Allobaculum,0.62
Otu441,Bacteria,1,Firmicutes,0.71,Clostridia,0.71,Clostridiales,0.71,Lachnospiraceae,0.62,Clostridium_XlVa,0.35
Otu443,Bacteria,1,Caldiserica,0.41,Caldisericia,0.41,Caldisericales,0.41,Caldisericaceae,0.41,Caldisericum,0.41
Otu445,Bacteria,0.98,Proteobacteria,0.41,Fibrobacteria,0.29,Fibrobacterales,0.29,Fibrobacteraceae,0.29,Fibrobacter,0.29
Otu447,Bacteria,0.93,Proteobacteria,0.23,Bacteroidia,0.15,Bacteroidales,0.15,Syntrophobacteraceae,0.1,Desulforhabdus,0.1
Otu448,Bacteria,1,Bacteroidetes,0.66,Sphingobacteriia,0.26,Sphingobacteriales,0.26,Sphingobacteriaceae,0.26,Olivibacter,0.17
Otu442,Bacteria,1,Firmicutes,1,Bacilli,0.52,Lactobacillales,0.52,Clostridiaceae_1,0.46,Hathewaya,0.44
Otu446,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.99,Pseudoflavonifractor,0.99
Otu449,Bacteria,0.7,Proteobacteria,0.29,Gammaproteobacteria,0.18,Sulfolobales,0.14,Sulfolobaceae,0.14,Acidianus,0.13
Otu452,Bacteria,0.96,Proteobacteria,0.39,Gammaproteobacteria,0.24,Pseudomonadales,0.1,Moraxellaceae,0.1,Moraxella,0.1
Otu450,Bacteria,0.55,Crenarchaeota,0.32,Thermoprotei,0.32,Thermoproteales,0.29,Thermoproteaceae,0.29,Pyrobaculum,0.27
Otu454,Bacteria,0.95,Proteobacteria,0.38,Gammaproteobacteria,0.23,Bacillales,0.19,Planococcaceae,0.14,Lysinibacillus,0.13
Otu453,Bacteria,1,Bacteroidetes,0.98,Bacteroidia,0.69,Bacteroidales,0.69,Bacteroidaceae,0.49,Phocaeicola,0.29
Otu456,Bacteria,1,Firmicutes,0.83,Clostridia,0.79,Clostridiales,0.79,Lachnospiraceae,0.52,Ruminococcus,0.24
Otu451,Bacteria,1,Verrucomicrobia,0.45,Verrucomicrobiae,0.45,Verrucomicrobiales,0.45,Akkermansiaceae,0.45,Akkermansia,0.45
Otu458,Bacteria,0.96,Actinobacteria,0.23,Nitriliruptoria,0.13,Euzebyales,0.13,Euzebyaceae,0.13,Euzebya,0.13
Otu457,Bacteria,1,Bacteroidetes,0.82,Bacteroidia,0.66,Bacteroidales,0.66,Bacteroidaceae,0.43,Phocaeicola,0.4
Otu455,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Coprococcus,0.31
Otu461,Archaea,0.51,Actinobacteria,0.34,Actinobacteria,0.24,Desulfurococcales,0.12,Sulfolobaceae,0.09,Nanoarchaeum,0.14
Otu460,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Merdimonas,0.7
Otu463,Bacteria,0.89,Bacteroidetes,0.32,Gammaproteobacteria,0.21,Cytophagales,0.18,Bacillaceae_1,0.13,Roseivirga,0.1
Otu459,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.95,Oscillibacter,0.84
Otu465,Bacteria,0.52,Euryarchaeota,0.24,Thermoprotei,0.2,Thermoproteales,0.2,Thermoproteaceae,0.2,Pyrobaculum,0.2
Otu462,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.44,Clostridium_sensu_stricto,0.26
Otu467,Bacteria,1,Proteobacteria,0.3,Deferribacteres,0.23,Deferribacterales,0.23,Deferribacteraceae,0.23,Seleniivibrio,0.18
Otu464,Bacteria,1,Firmicutes,0.76,Clostridia,0.76,Clostridiales,0.76,Lachnospiraceae,0.56,Lachnoanaerobaculum,0.27
Otu466,Bacteria,0.91,Proteobacteria,0.45,Betaproteobacteria,0.24,Burkholderiales,0.22,Burkholderiaceae,0.22,Trinickia,0.07
Otu468,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.89,Flintibacter,0.8
Otu470,Bacteria,1,Bacteroidetes,0.85,Bacteroidia,0.58,Bacteroidales,0.58,Porphyromonadaceae,0.32,Parabacteroides,0.25
Otu473,Bacteria,0.66,Firmicutes,0.26,Bacilli,0.15,Bacillales,0.15,Bacillaceae_2,0.14,Gracilibacillus,0.14
Otu471,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Butyrivibrio,0.83
Otu469,Bacteria,1,Actinobacteria,0.82,Coriobacteriia,0.82,Eggerthellales,0.81,Eggerthellaceae,0.81,Adlercreutzia,0.81
Otu475,Bacteria,0.85,Cyanobacteria/Chloroplast,0.46,Chloroplast,0.41,Bacteroidales,0.08,Chloroplast,0.41,Streptophyta,0.4
Otu472,Bacteria,1,Firmicutes,0.99,Bacilli,0.99,Lactobacillales,0.99,Lactobacillaceae,0.95,Lactobacillus,0.74
Otu478,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Eubacteriaceae,0.5,Eubacterium,0.5
Otu476,Bacteria,1,Firmicutes,0.85,Bacilli,0.51,Lactobacillales,0.51,Streptococcaceae,0.45,Streptococcus,0.45
Otu479,Bacteria,1,Bacteroidetes,0.83,Bacteroidia,0.81,Bacteroidales,0.81,Marinilabiliaceae,0.31,Alkalitalea,0.31
Otu474,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Mycobacteriales,1,Corynebacteriaceae,0.81,Corynebacterium,0.81
Otu483,Bacteria,0.93,Proteobacteria,0.22,Alphaproteobacteria,0.15,Rhizobiales,0.13,Bradyrhizobiaceae,0.08,Rhodopseudomonas,0.08
Otu477,Bacteria,1,Firmicutes,0.53,Campylobacteria,0.28,Campylobacterales,0.28,Helicobacteraceae,0.28,Helicobacter,0.28
Otu482,Bacteria,0.8,Actinobacteria,0.26,Actinobacteria,0.25,Bacteroidales,0.15,Prevotellaceae,0.15,Prevotella,0.12
Otu481,Bacteria,1,Firmicutes,0.97,Clostridia,0.97,Clostridiales,0.97,Lachnospiraceae,0.97,Moryella,0.89
Otu480,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Allobaculum,0.63
Otu485,Bacteria,0.88,Proteobacteria,0.24,Alphaproteobacteria,0.24,Bacillales,0.16,Alicyclobacillaceae,0.16,Alicyclobacillus,0.16
Otu484,Bacteria,0.74,Deinococcus-Thermus,0.25,Deinococci,0.25,Thermales,0.24,Thermaceae,0.24,Thermus,0.14
Otu487,Bacteria,0.67,Euryarchaeota,0.31,Halobacteria,0.3,Planctomycetales,0.21,Isosphaeraceae,0.21,Singulisphaera,0.21
Otu488,Bacteria,1,Firmicutes,0.95,Clostridia,0.95,Clostridiales,0.95,Lachnospiraceae,0.85,Howardella,0.33
Otu486,Bacteria,1,Acidobacteria,0.42,Acidobacteria_Gp16,0.42,Mycobacteriales,0.12,Acholeplasmataceae,0.12,Gp16,0.42
Otu490,Bacteria,1,Firmicutes,0.77,Clostridia,0.69,Clostridiales,0.68,Lachnospiraceae,0.63,Clostridium_XlVa,0.48
Otu491,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.98,Acetanaerobacterium,0.9
Otu492,Bacteria,1,Firmicutes,0.82,Bacilli,0.82,Lactobacillales,0.82,Lactobacillaceae,0.72,Leuconostoc,0.54
Otu494,Bacteria,1,Firmicutes,0.71,Clostridia,0.65,Clostridiales,0.65,Lachnospiraceae,0.57,Clostridium_XlVa,0.53
Otu493,Bacteria,1,Firmicutes,0.8,Bacilli,0.59,Lactobacillales,0.59,Lactobacillaceae,0.54,Lacticaseibacillus,0.39
Otu489,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Streptomycetales,0.99,Streptomycetaceae,0.99,Streptomyces,0.99
Otu496,Bacteria,1,Firmicutes,0.98,Bacilli,0.98,Lactobacillales,0.98,Streptococcaceae,0.91,Lactococcus,0.91
Otu495,Bacteria,1,Firmicutes,0.98,Erysipelotrichia,0.61,Erysipelotrichales,0.61,Erysipelotrichaceae,0.61,Erysipelothrix,0.61
Otu499,Bacteria,0.98,Firmicutes,0.46,Bacilli,0.34,Bacillales,0.31,Paenibacillaceae_1,0.28,Fontibacillus,0.12
Otu498,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.98,Clostridium_XlVa,0.4
Otu501,Bacteria,1,Bacteroidetes,0.81,Bacteroidia,0.69,Bacteroidales,0.69,Dysgonomonadaceae,0.34,Dysgonomonas,0.34
Otu497,Bacteria,1,Firmicutes,0.54,Clostridia,0.53,Clostridiales,0.53,Ruminococcaceae,0.36,Butyricicoccus,0.36
Otu503,Bacteria,0.89,Firmicutes,0.39,Clostridia,0.33,Thermoanaerobacterales,0.24,Thermoanaerobacteraceae,0.24,Carboxydothermus,0.17
Otu504,Bacteria,0.87,Proteobacteria,0.37,Gammaproteobacteria,0.16,Clostridiales,0.08,Natrialbaceae,0.07,Natronorubrum,0.07
Otu500,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhizobiales,1,Devosiaceae,0.95,Paradevosia,0.79
Otu505,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.71,Bacteroidales,0.71,Bacteroidaceae,0.25,Odoribacter,0.25
Otu507,Archaea,0.73,Euryarchaeota,0.64,Halobacteria,0.62,Haloferacales,0.37,Halorubraceae,0.33,Halorubrum,0.32
Otu506,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Butyrivibrio,0.29
Otu502,Bacteria,1,Proteobacteria,0.83,Alphaproteobacteria,0.45,Desulfobacterales,0.38,Desulfobulbaceae,0.38,Desulfotalea,0.38
Otu509,Bacteria,1,Firmicutes,0.34,Clostridia,0.26,Thermoanaerobacterales,0.22,Thermoanaerobacteraceae,0.22,Caldanaerobacter,0.22
Otu508,Bacteria,1,Acidobacteria,0.98,Acidobacteria_Gp4,0.77,Blastocatellales,0.02,Blastocatellaceae,0.02,Gp4,0.77
Otu511,Bacteria,1,Firmicutes,0.66,Clostridia,0.66,Clostridiales,0.66,Lachnospiraceae,0.62,Coprococcus,0.33
Otu513,Bacteria,1,Verrucomicrobia,0.9,Verrucomicrobiae,0.9,Verrucomicrobiales,0.9,Verrucomicrobiaceae,0.53,Brevifollis,0.47
Otu514,Bacteria,0.99,Firmicutes,0.87,Clostridia,0.45,Clostridiales,0.45,Paenibacillaceae_1,0.33,Paenibacillus,0.33
Otu512,Bacteria,1,Firmicutes,0.76,Clostridia,0.72,Clostridiales,0.72,Lachnospiraceae,0.61,Cellulosilyticum,0.43
Otu516,Bacteria,1,Firmicutes,0.3,Clostridia,0.17,Clostridiales,0.17,Clostridiales_Incertae_Sedis_XVII,0.15,Sulfobacillus,0.15
Otu510,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,0.77,Oxalobacteraceae,0.76,Massilia,0.76
Otu518,Bacteria,0.98,Firmicutes,0.49,Bacilli,0.27,Lactobacillales,0.15,Streptococcaceae,0.15,Streptococcus,0.15
Otu515,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.91,Anaerotruncus,0.88
Otu517,Bacteria,1,Firmicutes,0.79,Clostridia,0.4,Bacillales,0.35,Bacillales_incertae_sedis,0.33,Hydrogenibacillus,0.33
Otu520,Bacteria,0.93,Proteobacteria,0.39,Gammaproteobacteria,0.23,Bacillales,0.2,Rhodobacteraceae,0.09,Paenibacillus,0.08
Otu519,Bacteria,1,Firmicutes,0.95,Clostridia,0.95,Clostridiales,0.95,Ruminococcaceae,0.95,Oscillibacter,0.59
Otu521,Bacteria,0.79,Firmicutes,0.21,Actinobacteria,0.14,Erysipelotrichales,0.09,Erysipelotrichaceae,0.09,Erysipelotrichaceae_incertae_sedis,0.09
Otu522,Bacteria,0.96,Firmicutes,0.37,Bacilli,0.33,Bacillales,0.27,Alicyclobacillaceae,0.25,Tumebacillus,0.25
Otu526,Bacteria,0.89,Proteobacteria,0.4,Alphaproteobacteria,0.38,Caulobacterales,0.18,Hyphomonadaceae,0.18,Hyphomonas,0.18
Otu524,Bacteria,1,Firmicutes,0.88,Clostridia,0.86,Clostridiales,0.86,Lachnospiraceae,0.78,Robinsoniella,0.38
Otu527,Bacteria,0.99,Firmicutes,0.86,Clostridia,0.85,Clostridiales,0.65,Ruminococcaceae,0.29,Tepidanaerobacter,0.2
Otu528,Bacteria,0.84,Tenericutes,0.29,Mollicutes,0.29,Entomoplasmatales,0.29,Spiroplasmataceae,0.29,Spiroplasma,0.29
Otu523,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.85,Acetanaerobacterium,0.49
Otu530,Bacteria,0.92,Firmicutes,0.29,Clostridia,0.29,Clostridiales,0.29,Eubacteriaceae,0.29,Eubacterium,0.29
Otu525,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Micrococcales,0.98,Microbacteriaceae,0.98,Leifsonia,0.98
Otu529,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.94,Lachnoanaerobaculum,0.64
Otu533,Bacteria,0.97,Actinobacteria,0.45,Actinobacteria,0.41,Clostridiales,0.16,Pseudonocardiaceae,0.1,Peptostreptococcus,0.08
Otu534,Bacteria,0.92,Firmicutes,0.42,Clostridia,0.22,Cytophagales,0.22,Clostridiaceae_1,0.17,Clostridium_sensu_stricto,0.17
Otu535,Bacteria,1,Firmicutes,0.96,Clostridia,0.96,Clostridiales,0.96,Lachnospiraceae,0.95,Mediterraneibacter,0.39
Otu532,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Coriobacteriales,0.64,Atopobiaceae,0.64,Olsenella,0.64
Otu531,Bacteria,1,Firmicutes,1,Bacilli,0.88,Lactobacillales,0.86,Lactobacillaceae,0.65,Lactobacillus,0.36
Otu537,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.97,Bacteroidales,0.97,Porphyromonadaceae,0.74,Porphyromonas,0.71
Otu538,Bacteria,0.98,Bacteroidetes,0.41,Flavobacteriia,0.23,Flavobacteriales,0.23,Flavobacteriaceae,0.23,Flavobacterium,0.09
Otu539,Bacteria,0.95,Firmicutes,0.65,Erysipelotrichia,0.46,Erysipelotrichales,0.46,Erysipelotrichaceae,0.46,Coprobacillus,0.24
Otu545,Bacteria,0.84,Bacteroidetes,0.21,Betaproteobacteria,0.14,Neisseriales,0.11,Chromobacteriaceae,0.09,Candidatus_Nanosalina,0.1
Otu540,Bacteria,1,Actinobacteria,0.52,Coriobacteriia,0.52,Eggerthellales,0.3,Eggerthellaceae,0.3,Duncaniella,0.25
Otu541,Bacteria,1,Firmicutes,1,Bacilli,0.98,Lactobacillales,0.94,Lactobacillaceae,0.93,Amylolactobacillus,0.65
Otu542,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Streptococcaceae,1,Floricoccus,0.6
Otu544,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.45,Clostridium_sensu_stricto,0.2
Otu536,Bacteria,1,Actinobacteria,0.52,Actinobacteria,0.49,Streptosporangiales,0.31,Nocardiopsaceae,0.31,Streptomonospora,0.31
Otu546,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.6,Dysosmobacter,0.51
Otu543,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.56,Marvinbryantia,0.49
Otu547,Bacteria,1,Firmicutes,0.92,Clostridia,0.79,Clostridiales,0.79,Ruminococcaceae,0.78,Pseudoflavonifractor,0.73
Otu548,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Parasporobacterium,0.96
Otu552,Bacteria,0.87,Actinobacteria,0.24,Actinobacteria,0.23,Micrococcales,0.11,Dermacoccaceae,0.08,Yimella,0.08
Otu551,Bacteria,0.64,Euryarchaeota,0.23,Halobacteria,0.22,Haloferacales,0.18,Haloferacaceae,0.15,Halogeometricum,0.12
Otu555,Bacteria,0.99,Proteobacteria,0.29,Gammaproteobacteria,0.19,Enterobacterales,0.11,Chloroplast,0.11,GpI,0.09
Otu550,Bacteria,1,Verrucomicrobia,1,Verrucomicrobiae,1,Verrucomicrobiales,1,Akkermansiaceae,1,Akkermansia,1
Otu556,Bacteria,0.56,Nanoarchaeota,0.22,Chlorobia,0.11,Chlorobiales,0.11,Chlorobiaceae,0.11,Nanoarchaeum,0.22
Otu553,Bacteria,1,Firmicutes,0.85,Erysipelotrichia,0.82,Erysipelotrichales,0.82,Erysipelotrichaceae,0.82,Amedibacillus,0.56
Otu557,Bacteria,0.99,Actinobacteria,0.62,Actinobacteria,0.62,Micrococcales,0.14,Actinomycetaceae,0.14,Gleimia,0.11
Otu554,Bacteria,1,Firmicutes,0.98,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.39,Blautia,0.28
Otu549,Bacteria,0.95,Proteobacteria,0.31,Actinobacteria,0.21,Bacillales,0.17,Pseudonocardiaceae,0.13,Actinomycetospora,0.1
Otu558,Bacteria,1,Firmicutes,0.7,Bacilli,0.7,Lactobacillales,0.7,Lactobacillaceae,0.7,Lactobacillus,0.52
Otu560,Bacteria,0.78,Firmicutes,0.23,Clostridia,0.19,Thermales,0.14,Thermaceae,0.14,Palaeococcus,0.13
Otu563,Bacteria,0.99,Firmicutes,0.56,Bacilli,0.52,Lactobacillales,0.47,Streptococcaceae,0.45,Lactococcus,0.39
Otu559,Bacteria,1,Firmicutes,0.93,Clostridia,0.79,Clostridiales,0.79,Eubacteriaceae,0.39,Eubacterium,0.39
Otu562,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.62,Faecalicatena,0.42
Otu561,Bacteria,1,Verrucomicrobia,0.44,Verrucomicrobiae,0.43,Verrucomicrobiales,0.43,Verrucomicrobiaceae,0.29,Latescibacteria_genera_incertae_sedis,0.32
Otu565,Bacteria,1,Bacteroidetes,0.77,Bacteroidia,0.72,Bacteroidales,0.72,Bacteroidaceae,0.62,Phocaeicola,0.5
Otu564,Bacteria,1,Firmicutes,0.65,Clostridia,0.57,Clostridiales,0.57,Lachnospiraceae,0.31,Cellulosilyticum,0.22
Otu566,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.99,Bacteroidales,0.99,Bacteroidaceae,0.64,Phocaeicola,0.61
Otu569,Bacteria,0.95,Firmicutes,0.29,Clostridia,0.26,Thermoanaerobacterales,0.21,Thermoanaerobacteraceae,0.18,Thermoanaerobacter,0.14
Otu567,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.96,Marvinbryantia,0.79
Otu571,Bacteria,1,Firmicutes,0.89,Bacilli,0.48,Lactobacillales,0.48,Streptococcaceae,0.47,Streptococcus,0.43
Otu572,Bacteria,0.87,Firmicutes,0.47,Clostridia,0.45,Clostridiales,0.4,Lachnospiraceae,0.38,Catonella,0.16
Otu570,Bacteria,1,Firmicutes,0.73,Clostridia,0.72,Clostridiales,0.72,Lachnospiraceae,0.61,Cellulosilyticum,0.29
Otu568,Bacteria,1,Firmicutes,1,Bacilli,0.88,Lactobacillales,0.57,Lactobacillaceae,0.57,Companilactobacillus,0.26
Otu573,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,0.6
Otu574,Bacteria,1,Firmicutes,0.57,Clostridia,0.57,Clostridiales,0.57,Lachnospiraceae,0.54,Phocaeicola,0.38
Otu576,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.81,Bacteroidales,0.81,Bacteroidaceae,0.61,Phocaeicola,0.47
Otu575,Bacteria,1,Firmicutes,0.94,Clostridia,0.57,Clostridiales,0.57,Paenibacillaceae_1,0.32,Paenibacillus,0.22
Otu577,Bacteria,1,Bacteroidetes,0.51,Clostridia,0.48,Clostridiales,0.48,Lachnospiraceae,0.45,Clostridium_XlVa,0.45
Otu580,Bacteria,0.91,Firmicutes,0.17,Bacilli,0.17,Micrococcales,0.12,Puniceicoccaceae,0.09,Ruficoccus,0.08
Otu579,Bacteria,1,Bacteroidetes,0.37,Clostridia,0.27,Bacteroidales,0.27,Prevotellaceae,0.2,Prevotella,0.2
Otu578,Bacteria,0.78,Proteobacteria,0.29,Alphaproteobacteria,0.23,Rhizobiales,0.23,Salinarimonadaceae,0.23,Salinivirga,0.23
Otu582,Bacteria,0.77,Bacteroidetes,0.45,Cytophagia,0.37,Cytophagales,0.37,Cytophagaceae,0.35,Rhodocytophaga,0.33
Otu586,Bacteria,0.99,Planctomycetes,0.3,Planctomycetacia,0.3,Pirellulales,0.3,Thermoguttaceae,0.25,Thermogutta,0.25
Otu583,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Howardella,0.38
Otu584,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.84,Blautia,0.28
Otu588,Bacteria,0.89,Actinobacteria,0.48,Actinobacteria,0.47,Mycobacteriales,0.22,Dietziaceae,0.18,Dietzia,0.18
Otu587,Bacteria,1,Firmicutes,0.93,Clostridia,0.92,Clostridiales,0.92,Lachnospiraceae,0.54,Robinsoniella,0.37
Otu585,Bacteria,0.73,Proteobacteria,0.27,Methanomicrobia,0.21,Methanosarcinales,0.21,Methanosarcinaceae,0.21,Methanosarcina,0.21
Otu590,Bacteria,0.99,Firmicutes,0.62,Clostridia,0.62,Clostridiales,0.61,Lachnospiraceae,0.61,Clostridium_XlVa,0.45
Otu591,Bacteria,0.99,Bacteroidetes,0.38,Flavobacteriia,0.32,Flavobacteriales,0.32,Flavobacteriaceae,0.31,Mesonia,0.12
Otu589,Bacteria,1,Firmicutes,0.91,Clostridia,0.87,Clostridiales,0.87,Lachnospiraceae,0.85,Muricomes,0.44
Otu581,Bacteria,1,Firmicutes,0.87,Bacilli,0.46,Lactobacillales,0.37,Lactobacillaceae,0.37,Limosilactobacillus,0.34
Otu595,Bacteria,0.67,Firmicutes,0.21,Bacilli,0.16,Bacillales,0.13,Bacillales_Incertae_Sedis_XI,0.08,Candidatus_Parvarchaeum,0.11
Otu592,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.96,Roseburia,0.92
Otu594,Bacteria,1,Firmicutes,0.86,Clostridia,0.78,Clostridiales,0.78,Lachnospiraceae,0.52,Roseburia,0.3
Otu593,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.9,Coprococcus,0.22
Otu597,Bacteria,0.9,Proteobacteria,0.49,Betaproteobacteria,0.26,Burkholderiales,0.22,Oxalobacteraceae,0.18,Noviherbaspirillum,0.18
Otu601,Bacteria,1,Tenericutes,0.39,Mollicutes,0.39,Mycoplasmatales,0.34,Mycoplasmataceae,0.34,Mycoplasma,0.34
Otu596,Bacteria,0.96,Proteobacteria,0.32,Actinobacteria,0.21,Sphingomonadales,0.12,Chloroplast,0.09,Streptophyta,0.09
Otu598,Bacteria,1,Firmicutes,0.99,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.64,Acetivibrio,0.49
Otu599,Bacteria,1,Firmicutes,0.88,Clostridia,0.87,Clostridiales,0.87,Ruminococcaceae,0.38,Oscillibacter,0.24
Otu600,Bacteria,1,Verrucomicrobia,0.86,Verrucomicrobiae,0.84,Verrucomicrobiales,0.84,Akkermansiaceae,0.84,Akkermansia,0.84
Otu608,Bacteria,1,Proteobacteria,0.5,Gammaproteobacteria,0.3,Clostridiales,0.14,Peptoniphilaceae,0.14,Peptoniphilus,0.11
Otu606,Bacteria,0.67,Actinobacteria,0.25,Coriobacteriia,0.19,Eggerthellales,0.19,Eggerthellaceae,0.19,Candidatus_Korarchaeum,0.22
Otu604,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.93,Bacteroidales,0.93,Dysgonomonadaceae,0.3,Dysgonomonas,0.3
Otu603,Bacteria,1,Firmicutes,0.79,Clostridia,0.78,Clostridiales,0.78,Lachnospiraceae,0.78,Lachnospiracea_incertae_sedis,0.4
Otu605,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.58,Pseudoflavonifractor,0.38
Otu607,Bacteria,1,Firmicutes,1,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.44,Oscillibacter,0.23
Otu602,Bacteria,1,Proteobacteria,0.95,Deltaproteobacteria,0.78,Myxococcales,0.77,Polyangiaceae,0.76,Racemicystis,0.74
Otu609,Bacteria,1,Firmicutes,0.91,Clostridia,0.91,Clostridiales,0.91,Lachnospiraceae,0.43,Lachnospiracea_incertae_sedis,0.39
Otu610,Bacteria,1,Actinobacteria,0.64,Coriobacteriia,0.62,Eggerthellales,0.62,Eggerthellaceae,0.62,Slackia,0.3
Otu611,Bacteria,1,Firmicutes,1,Bacilli,0.97,Lactobacillales,0.75,Lactobacillaceae,0.75,Amylolactobacillus,0.67
Otu617,Bacteria,0.95,Firmicutes,0.34,Bacilli,0.18,Clostridiales,0.12,Paenibacillaceae_1,0.07,Paenibacillus,0.07
Otu615,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Butyrivibrio,0.56
Otu612,Bacteria,1,Firmicutes,0.95,Bacilli,0.72,Lactobacillales,0.7,Lactobacillaceae,0.66,Lactobacillus,0.35
Otu616,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.77,Bacteroidales,0.77,Muribaculaceae,0.52,Duncaniella,0.5
Otu613,Bacteria,1,Bacteroidetes,0.75,Bacteroidia,0.74,Bacteroidales,0.74,Bacteroidaceae,0.73,Phocaeicola,0.47
Otu619,Bacteria,0.98,Proteobacteria,0.5,Alphaproteobacteria,0.17,Rhodospirillales,0.13,Rhodospirillaceae,0.13,Magnetospirillum,0.13
Otu614,Bacteria,1,Firmicutes,0.79,Clostridia,0.45,Clostridiales,0.45,Erysipelotrichaceae,0.34,Faecalicoccus,0.18
Otu618,Bacteria,1,Firmicutes,0.94,Clostridia,0.8,Clostridiales,0.8,Ruminococcaceae,0.61,Papillibacter,0.41
Otu620,Bacteria,0.99,Proteobacteria,0.32,Gammaproteobacteria,0.13,Bacteroidales,0.13,Erysipelotrichaceae,0.1,Armatimonadetes_gp4,0.09
