Otu,Domain,Phylum,Class,Order,Family,Genus
Otu1199,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1200,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,na,Chloroplast,Streptophyta
Otu1201,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu1204,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1205,,,Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6
Otu1207,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1208,Bacteria,na,na,na,na,na
Otu1206,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1212,Bacteria,na,na,na,na,na
Otu1213,Bacteria,na,na,na,na,na
Otu1209,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,na
Otu1214,Bacteria,na,na,na,na,na
Otu1210,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1211,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1216,Bacteria,na,na,na,na,na
Otu1218,Bacteria,na,na,na,na,na
Otu1220,Bacteria,na,na,na,na,na
Otu1219,Bacteria,na,na,na,na,na
Otu1215,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Rugosimonospora
Otu1222,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1224,Bacteria,na,na,na,na,na
Otu1217,Bacteria,Firmicutes,na,na,na,na
Otu1221,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1223,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu1225,Bacteria,Bacteroidetes,na,na,na,na
Otu1227,Bacteria,na,na,na,na,na
Otu1226,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1232,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na
Otu1228,Bacteria,Proteobacteria,na,na,na,na
Otu1234,Bacteria,na,na,na,na,na
Otu1229,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1231,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella
Otu1233,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1237,Bacteria,na,na,na,na,na
Otu1230,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
Otu1235,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb
Otu1238,Bacteria,Firmicutes,Clostridia,na,na,na
Otu1236,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1240,Bacteria,na,na,na,na,na
Otu1239,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Otu1241,Bacteria,na,na,na,na,na
Otu1243,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1246,Bacteria,Firmicutes,na,na,na,na
Otu1242,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1244,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1245,,,Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16
Otu1247,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1248,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu1249,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1250,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1253,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1252,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1254,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,na
Otu1261,Bacteria,na,na,na,na,na
Otu1256,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1255,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1257,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1258,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1260,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Otu1259,Bacteria,Firmicutes,Clostridia,na,na,na
Otu1262,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu1263,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1264,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia
Otu1266,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1270,,Archaea,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera
Otu1265,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1268,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu1271,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum
Otu1267,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,na,Chloroplast,Streptophyta
Otu1269,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1251,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1273,Bacteria,na,na,na,na,na
Otu1272,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
Otu1276,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu1274,Bacteria,Firmicutes,Bacilli,Bacillales,na,na
Otu1279,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1275,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu1277,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1280,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu1282,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1286,Bacteria,na,na,na,na,na
Otu1283,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1284,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,na,na
Otu1287,Bacteria,Firmicutes,Bacilli,na,na,na
